"player_id","pfr_id","player_name","recent_team","position","games","fantasy_points_ppr","season","ppr_per_game","ppr_rank","ppr_finish_12","ppr_finish_24","ppr_finish_36","ppr_finish_48","ppr_finish_3","ppr_finish_6"
"00-0019682","JackJa01","J.Jackson","DEN","QB",2,-0.1,2000,-0.05,74,0,0,0,0,0,0
"00-0019622","HusaTo20","T.Husak","WAS","QB",1,-0.18,2000,-0.18,75,0,0,0,0,0,0
"00-0013338","QuinJo00","J.Quinn","JAX","QB",1,-0.2,2000,-0.2,76,0,0,0,0,0,0
"00-0018333","WuerDa00","D.Wuerffel","GB","QB",1,-0.2,2000,-0.2,77,0,0,0,0,0,0
"00-0019623","RattTi00","T.Rattay","SF","QB",1,-0.26,2000,-0.26,78,0,0,0,0,0,0
"00-0007832","HoyiBo00","B.Hoying","LV","QB",1,-0.3,2000,-0.3,79,0,0,0,0,0,0
"00-0005794","GarrJa00","J.Garrett","NYG","QB",2,-0.4,2000,-0.2,80,0,0,0,0,0,0
"00-0004229","DetmKo00","K.Detmer","PHI","QB",2,-1.2,2000,-0.6,81,0,0,0,0,0,0
"00-0011640","MoreMo00","M.Moreno","LAC","QB",5,-2.08,2000,-0.416,82,0,0,0,0,0,0
"00-0019579","HamiJo20","J.Hamilton","TB","QB",1,-2.2,2000,-2.2,83,0,0,0,0,0,0
"00-0005092","FaulMa00","M.Faulk","LA","RB",14,453.5,2000,32.3928571428571,1,1,1,1,1,1,1
"00-0008241","JameEd00","E.James","IND","RB",16,388.1,2000,24.25625,2,1,1,1,1,1,1
"00-0005883","GeorEd00","E.George","TEN","RB",16,326.4,2000,20.4,3,1,1,1,1,1,1
"00-0006305","GreeAh00","A.Green","GB","RB",16,313.2,2000,19.575,4,1,1,1,1,0,1
"00-0010442","MartCu00","C.Martin","NYJ","RB",16,302.52,2000,18.9075,5,1,1,1,1,0,1
"00-0005779","GarnCh00","C.Garner","SF","RB",16,296.7,2000,18.54375,6,1,1,1,1,0,1
