season,gsis_id,player_name,position,category,rank,points,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48
2016,00-0027948,Blaine Gabbert,QB,fantasy_points_ppr,33,73.7,0,0,0,0,1,1
2016,00-0031569,Jeremy Langford,RB,fantasy_points_ppr,61,73.2,0,0,0,0,0,0
2016,00-0029731,Fozzy Whittaker,RB,fantasy_points_ppr,62,72.1,0,0,0,0,0,0
2016,00-0030801,Brandon Coleman,WR,fantasy_points_ppr,93,72.1,0,0,0,0,0,0
2016,00-0030533,Matt Barkley,QB,fantasy_points_ppr,34,71.84,0,0,0,0,1,1
2016,00-0027061,Jared Cook,TE,fantasy_points_ppr,38,71.7,0,0,0,0,0,1
2016,00-0030147,Russell Shepard,WR,fantasy_points_ppr,94,70,0,0,0,0,0,0
2016,00-0026035,Danny Amendola,WR,fantasy_points_ppr,95,69.3,0,0,0,0,0,0
2016,00-0031384,Richard Rodgers,TE,fantasy_points_ppr,39,69.1,0,0,0,0,0,1
2016,00-0031390,Charles Sims,RB,fantasy_points_ppr,63,67.9,0,0,0,0,0,0
2016,00-0028497,Kamar Aiken,WR,fantasy_points_ppr,96,67.8,0,0,0,0,0,0
2016,00-0029665,Robert Griffin,QB,fantasy_points_ppr,35,66.44,0,0,0,0,1,1
2016,00-0031570,Justin Hardy,WR,fantasy_points_ppr,97,65.3,0,0,0,0,0,0
2016,00-0027996,Torrey Smith,WR,fantasy_points_ppr,98,64.7,0,0,0,0,0,0
2016,00-0028116,Aldrick Robinson,WR,fantasy_points_ppr,99,64.3,0,0,0,0,0,0
2016,00-0032392,Austin Hooper,TE,fantasy_points_ppr,40,64.1,0,0,0,0,0,1
2016,00-0031075,Alfred Blue,RB,fantasy_points_ppr,64,62,0,0,0,0,0,0
2016,00-0026373,Justin Forsett,RB,fantasy_points_ppr,65,61.6,0,0,0,0,0,0
2016,00-0026267,Jacob Tamme,TE,fantasy_points_ppr,41,61,0,0,0,0,0,1
2016,00-0032393,C.J. Prosise,RB,fantasy_points_ppr,66,61,0,0,0,0,0,0
2016,00-0027595,Bryan Walters,WR,fantasy_points_ppr,100,59.5,0,0,0,0,0,0
2016,00-0031118,Corey Brown,WR,fantasy_points_ppr,101,59.2,0,0,0,0,0,0
2016,00-0027791,James Starks,RB,fantasy_points_ppr,67,58.9,0,0,0,0,0,0
2016,00-0029388,Deonte Thompson,WR,fantasy_points_ppr,102,58.9,0,0,0,0,0,0
2016,00-0029319,Josh Bellamy,WR,fantasy_points_ppr,103,56.9,0,0,0,0,0,0
2016,00-0031257,Paul Richardson,WR,fantasy_points_ppr,104,56.3,0,0,0,0,0,0
2016,00-0030516,Brice Butler,WR,fantasy_points_ppr,105,55.9,0,0,0,0,0,0
2016,00-0025708,Matt Moore,QB,fantasy_points_ppr,36,54.74,0,0,0,0,1,1
2016,00-0028087,Dion Lewis,RB,fantasy_points_ppr,68,54.7,0,0,0,0,0,0
2016,00-0032134,C.J. Uzomah,TE,fantasy_points_ppr,42,54.4,0,0,0,0,0,1
2016,00-0029275,Ladarius Green,TE,fantasy_points_ppr,43,54.4,0,0,0,0,0,1
2016,00-0033106,Jared Goff,QB,fantasy_points_ppr,37,53.16,0,0,0,0,0,1
2016,00-0030521,Justin Hunter,WR,fantasy_points_ppr,106,52.9,0,0,0,0,0,0
2016,00-0032782,Wendell Smallwood,RB,fantasy_points_ppr,69,52.7,0,0,0,0,0,0
2016,00-0030290,Cobi Hamilton,WR,fantasy_points_ppr,107,52.4,0,0,0,0,0,0
2016,00-0021206,Josh McCown,QB,fantasy_points_ppr,38,52.1,0,0,0,0,0,1
2016,00-0028142,Virgil Green,TE,fantasy_points_ppr,44,51.7,0,0,0,0,0,1
2016,00-0030443,Levine Toilolo,TE,fantasy_points_ppr,45,51.4,0,0,0,0,0,1
2016,00-0027691,Andre Roberts,WR,fantasy_points_ppr,108,50.8,0,0,0,0,0,0
2016,00-0030854,Erik Swoope,TE,fantasy_points_ppr,46,50.7,0,0,0,0,0,1
2016,00-0033118,Kenyan Drake,RB,fantasy_points_ppr,70,49.5,0,0,0,0,0,0
2016,00-0029129,Rod Streater,WR,fantasy_points_ppr,109,49.1,0,0,0,0,0,0
