season,gsis_id,player_name,position,category,pos_rank,points,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48
2023,00-0038608,Kayshon Boutte,WR,fantasy_points_hppr,193,2.9,0,0,0,0,0,0
2023,00-0038862,Elijah Dotson,RB,fantasy_points_hppr,116,2.9,0,0,0,0,0,0
2023,00-0033296,Alex Armah,RB,fantasy_points_hppr,117,2.8,0,0,0,0,0,0
2023,00-0037410,Jashaun Corbin,RB,fantasy_points_hppr,118,2.8,0,0,0,0,0,0
2023,00-0033576,Eric Saubert,TE,fantasy_points_hppr,100,2.7,0,0,0,0,0,0
2023,00-0036860,Jake Funk,RB,fantasy_points_hppr,119,2.7,0,0,0,0,0,0
2023,00-0037317,Nick Muse,TE,fantasy_points_hppr,101,2.7,0,0,0,0,0,0
2023,00-0035715,Derrick Gore,RB,fantasy_points_hppr,120,2.6,0,0,0,0,0,0
2023,00-0031484,Chris Manhertz,TE,fantasy_points_hppr,102,2.6,0,0,0,0,0,0
2023,00-0035259,Trevon Wesco,TE,fantasy_points_hppr,103,2.6,0,0,0,0,0,0
2023,00-0037157,Zonovan Knight,RB,fantasy_points_hppr,121,2.6,0,0,0,0,0,0
2023,00-0030663,Willie Snead,WR,fantasy_points_hppr,194,2.4,0,0,0,0,0,0
2023,00-0035480,Malik Taylor,WR,fantasy_points_hppr,195,2.3,0,0,0,0,0,0
2023,00-0038092,Erik Ezukanma,WR,fantasy_points_hppr,196,2.2,0,0,0,0,0,0
2023,00-0038598,Jaren Hall,QB,fantasy_points_hppr,72,2.12,0,0,0,0,0,0
2023,00-0032951,Laquon Treadwell,WR,fantasy_points_hppr,197,2.1,0,0,0,0,0,0
2023,00-0033118,Kenyan Drake,RB,fantasy_points_hppr,122,2.1,0,0,0,0,0,0
2023,00-0036336,Anthony McFarland,RB,fantasy_points_hppr,123,2.1,0,0,0,0,0,0
2023,00-0037827,Tyrion Davis-Price,RB,fantasy_points_hppr,124,2.1,0,0,0,0,0,0
2023,00-0034401,Mike White,QB,fantasy_points_hppr,73,2.06,0,0,0,0,0,0
2023,00-0039136,Zach Evans,RB,fantasy_points_hppr,125,1.9,0,0,0,0,0,0
2023,00-0035184,Devine Ozigbo,RB,fantasy_points_hppr,126,1.8,0,0,0,0,0,0
2023,00-0034073,Ross Dwelley,TE,fantasy_points_hppr,104,1.7,0,0,0,0,0,0
2023,00-0037306,John FitzPatrick,TE,fantasy_points_hppr,105,1.7,0,0,0,0,0,0
2023,00-0036254,Collin Johnson,WR,fantasy_points_hppr,198,1.6,0,0,0,0,0,0
2023,00-0036857,Chris Evans,RB,fantasy_points_hppr,127,1.6,0,0,0,0,0,0
2023,00-0035164,Cody Thompson,WR,fantasy_points_hppr,199,1.5,0,0,0,0,0,0
2023,00-0036493,Deon Jackson,RB,fantasy_points_hppr,128,1.5,0,0,0,0,0,0
2023,00-0037654,Tucker Fisk,TE,fantasy_points_hppr,106,1.4,0,0,0,0,0,0
2023,00-0036842,Kene Nwangwu,RB,fantasy_points_hppr,129,1.3,0,0,0,0,0,0
2023,00-0038391,Sean Clifford,QB,fantasy_points_hppr,74,1.28,0,0,0,0,0,0
2023,00-0038397,Evan Hull,RB,fantasy_points_hppr,130,1.2,0,0,0,0,0,0
2023,00-0034193,Kevin Rader,TE,fantasy_points_hppr,107,1.1,0,0,0,0,0,0
2023,00-0035924,Jonathan Ward,RB,fantasy_points_hppr,131,1.1,0,0,0,0,0,0
2023,00-0036176,Mason Kinsey,WR,fantasy_points_hppr,200,1.1,0,0,0,0,0,0
2023,00-0037506,Cole Fotheringham,TE,fantasy_points_hppr,108,1.1,0,0,0,0,0,0
2023,00-0035562,Jesper Horsted,TE,fantasy_points_hppr,109,0.9,0,0,0,0,0,0
2023,00-0032394,Nick Vannett,TE,fantasy_points_hppr,110,0.8,0,0,0,0,0,0
2023,00-0038632,Colton Dowell,WR,fantasy_points_hppr,201,0.8,0,0,0,0,0,0
2023,00-0031288,AJ McCarron,QB,fantasy_points_hppr,75,0.76,0,0,0,0,0,0
2023,00-0035956,Giovanni Ricci,TE,fantasy_points_hppr,111,0.7,0,0,0,0,0,0
2023,00-0037420,Kwamie Lassiter,WR,fantasy_points_hppr,202,0.7,0,0,0,0,0,0
2023,00-0038627,Antoine Green,WR,fantasy_points_hppr,203,0.7,0,0,0,0,0,0
2023,00-0035831,James Robinson,RB,fantasy_points_hppr,132,0.5,0,0,0,0,0,0
2023,00-0036620,D'Wayne Eskridge,WR,fantasy_points_hppr,204,0.5,0,0,0,0,0,0
2023,00-0023459,Aaron Rodgers,QB,fantasy_points_hppr,76,0,0,0,0,0,0,0
2023,00-0031868,Damiere Byrd,WR,fantasy_points_hppr,205,0,0,0,0,0,0,0
2023,00-0032208,Phillip Dorsett,WR,fantasy_points_hppr,206,0,0,0,0,0,0,0
