"mfl_id","player_name","gsis_id","team","pfr_id"
15804,"Grant Calcaterra","00-0037086","PHI","CalcGr00"
15805,"Aidan Hutchinson",NA,"DET","HutcAi00"
15806,"Kayvon Thibodeaux","00-0037611","NYG","ThibKa00"
15807,"David Ojabo","00-0038142","BAL","OjabDa00"
15808,"George Karlaftis",NA,"KCC","KarlGe00"
15809,"Jermaine Johnson",NA,"NYJ","JohnJe07"
15810,"Myjai Sanders","00-0037751","ARI","SandMy00"
15811,"Drake Jackson",NA,"SFO","JackDr01"
15812,"Logan Hall",NA,"TBB","HallLo00"
15813,"Kingsley Enagbare","00-0037083","GBP","EnagKi00"
15814,"Cameron Thomas",NA,"ARI","ThomCa03"
15815,"Travon Walker",NA,"JAC","WalkTr03"
15816,"Perrion Winfrey",NA,"FA","WinfPe00"
15817,"Jordan Davis",NA,"PHI","DaviJo03"
15818,"DeMarvin Leal",NA,"PIT","LealDe00"
15819,"Devonte Wyatt",NA,"GBP","WyatDe00"
15820,"Phidarian Mathis",NA,"WAS","MathPh00"
15821,"Nakobe Dean","00-0037615","PHI","DeanNa00"
15822,"Devin Lloyd","00-0037244","JAC","LloyDe00"
15823,"Christian Harris","00-0037823","HOU","HarrCh06"
15824,"Channing Tindall","00-0037813","MIA","TindCh00"
15825,"Darrian Beavers","00-0037285","NYG","BeavDa00"
15826,"Damone Clark","00-0037281","DAL","ClarDa02"
15827,"JoJo Domann","00-0037393","IND","DomaJo00"
15828,"Brandon Smith","00-0038113","CAR","SmitBr08"
15829,"Brian Asamoah","00-0037822","MIN","AsamBr00"
15830,"Chad Muma","00-0037811","JAC","MumaCh00"
15831,"Leo Chenal","00-0037819","KCC","ChenLe00"
15832,"Derek Stingley",NA,"HOU","StinDe00"
15833,"Ahmad Gardner",NA,"NYJ","GardSa00"
15834,"Kyle Hamilton",NA,"BAL","HamiKy00"
15835,"Jaquan Brisker",NA,"CHI","BrisJa01"
15836,"Daxton Hill",NA,"CIN","HillDa04"
